tienda,mes,center_name,region,zona,postal_code_area,fase,model,estado_veterana,n_dias,uds_dia_media,uds_total_mes,tiempo_efectivo_min,tiempo_con_paradas_min,tiempo_de_paradas_min,prod_efectiva_min_ud,prod_conparadas_min_ud,dif_prod_efectiva_vs_obj,dif_prod_conparadas_vs_obj,caudal_optimo_h,caudal_efectivo_h,caudal_real_h,diferencia_caudal_h,caudal_optimo_h_total,caudal_efectivo_h_total,caudal_real_h_total,diferencia_caudal_h_total
4572,1/7/2025,4572 - Retuerto (Barakaldo),R08,Z42,Retuerto (Barakaldo),Veterana,NTC90,Veterana,24,"4.403,46",105.683,"1.403,58","1.441,17","37,58","0,3209","0,3292","0,0059","0,0142","23,12","23,39","24,02","0,901","554,84","561,43","576,47","21,63"
4579,1/7/2025,4579 - Deltebre (Deltebre),R02,Z05,Deltebre (Deltebre),Veterana,NTC90,Veterana,27,3.880,104.760,"1.490,67","1.587,48","96,81","0,3874","0,4119","0,0724","0,0969","20,37","24,84","26,46","6,09","549,99","670,8","714,37","164,38"
4587,1/7/2025,4587 - C. C. Albacenter (Albacete),R10,Z07,C. C. Albacenter (Albacete),Veterana,NTC90,Veterana,27,"2.686,52",72.536,"835,85","942,07","106,22","0,3117","0,3521",-0,"0,0371","14,1","13,93","15,7","1,6","380,81","376,13","423,93","43,12"
4592,1/7/2025,4592 - Carballiño Estación (O Carballiño),R01,Z30,Carballiño Estación (O Carballiño),Veterana,NTC60,Veterana,26,"1.397,08",36.324,"527,54",553,"25,46","0,3803","0,3987","0,0653","0,0837","7,33","8,79","9,22","1,88","190,7","228,6","239,63","48,93"
4602,1/7/2025,4602 - Parc Comercial Vilanova (Vilanova I La Geltru),R02,Z56,Parc Comercial Vilanova (Vilanova I La Geltru),Veterana,NTC60,Veterana,27,"3.059,7",82.612,"1.003,15","1.048,96","45,81","0,329","0,3438","0,014","0,0288","16,06","16,72","17,48","1,42","433,71","451,42","472,03","38,32"
4608,1/7/2025,4608 - Avda. De Marià Fortuny (Reus),R02,Z05,Avda. De Marià Fortuny (Reus),Veterana,NTC90,Veterana,27,"3.720,89",100.464,"1.374,19",1.424,"49,81","0,3723","0,3847","0,0573","0,0697","19,54","22,9","23,73","4,2","527,44","618,38","640,8","113,36"
4623,1/7/2025,4623 - La Cañada (Almeria),R07,Z25,La Cañada (Almeria),Veterana,NTC90,Veterana,27,"3.836,22",103.578,"1.274,15","1.378,56","104,41","0,334","0,3613","0,019","0,0463","20,14","21,24","22,98","2,84","543,78","573,37","620,35","76,57"
4632,1/7/2025,4632 - Mula (Mula),R07,Z48,Mula (Mula),Veterana,NTC60,No veterana,27,"1.939,59",52.369,644,"658,81","14,81","0,333","0,3409","0,018","0,0259","10,18","10,73","10,98","0,797","274,94","289,8","296,47","21,53"
4637,1/7/2025,4637 - C/ Toledo (Parla),R10,Z43,C/ Toledo (Parla),Veterana,NTC120,No veterana,26,"4.337,85",112.784,1.673,"1.749,35","76,35","0,3891","0,4066","0,0741","0,0916","22,77","27,88","29,16","6,38","592,12","724,97","758,05","165,93"
4641,1/7/2025,4641 - Jumilla (Jumilla),R07,Z08,Jumilla (Jumilla),Veterana,NTC15,No veterana,27,"704,11",19.011,"246,04","250,44","4,41","0,3758","0,3829","0,0608","0,0679","3,7","4,1","4,17","0,477","99,81","110,72","112,7","12,89"
4644,1/7/2025,4644 - Ctra. Toledo (Ciudad Real),R10,Z55,Ctra. Toledo (Ciudad Real),Veterana,NTC90,Veterana,27,"4.118,52",111.200,"1.271,48","1.333,74","62,26","0,3096","0,325",-0,"0,01","21,62","21,19","22,23","0,607","583,8","572,17","600,18","16,38"
4655,1/7/2025,4655 - República Arxentina (Marin),R01,Z30,República Arxentina (Marin),Veterana,NTC60,Veterana,25,"2.299,16",57.479,"841,4","884,36","42,96","0,3788","0,3988","0,0638","0,0838","12,07","14,02","14,74","2,67","301,76","350,58","368,48","66,72"
4659,1/7/2025,4659 - Sonseca (Sonseca),R10,Z55,Sonseca (Sonseca),Veterana,NTC60,Veterana,27,"2.715,3",73.313,"884,11","920,81","36,7","0,3294","0,3428","0,0144","0,0278","14,26","14,73","15,35","1,09","384,89","397,85","414,37","29,47"
4660,1/7/2025,4660 - Señorío De Illescas (Illescas),R10,Z43,Señorío De Illescas (Illescas),Veterana,NTC120,Veterana,27,"7.726,04",208.603,"2.680,78","2.796,67","115,89","0,3497","0,3645","0,0347","0,0495","40,56","44,68","46,61","6,05","1.095,17","1.206,35","1.258,5","163,33"
4661,1/7/2025,4661 - Cañada Real Mestas (Cordoba),R06,Z17,Cañada Real Mestas (Cordoba),Veterana,NTC90,Veterana,27,"4.667,15",126.013,"1.324,52","1.359,85","35,33","0,2851","0,2928","-0,03","-0,02","24,5","22,07","22,66","-1,84","661,57","596,03","611,93","-49,63"
4665,1/7/2025,4665 - Ctra. Alcañiz (Teruel),R03,Z13,Ctra. Alcañiz (Teruel),Veterana,NTC30,Veterana,26,"1.112,27",28.919,"448,96","468,08","19,12","0,427","0,4462","0,112","0,1312","5,84","7,48","7,8","1,96","151,82","194,55","202,83","51,01"
4670,1/7/2025,4670 - Huércal Overa (Huercal-Overa),R07,Z48,Huércal Overa (Huercal-Overa),Veterana,NTC30,No veterana,27,"1.282,56",34.629,"445,93","457,19","11,26","0,3541","0,3629","0,0391","0,0479","6,73","7,43","7,62","0,886","181,8","200,67","205,73","23,93"
4671,1/7/2025,4671 - C. C. Arcca (Calahorra),R08,Z52,C. C. Arcca (Calahorra),Veterana,NTC60,Veterana,27,"2.780,44",75.072,"921,52","958,7","37,19","0,3329","0,3465","0,0179","0,0315","14,6","15,36","15,98","1,38","394,13","414,68","431,42","37,29"
4673,1/7/2025,4673 - Vista Alegre (Zamora),R09,Z41,Vista Alegre (Zamora),Veterana,NTC30,Veterana,27,"1.191,48",32.170,"447,81","467,7","19,89","0,3814","0,398","0,0664","0,083","6,25","7,46","7,79","1,54","168,89","201,52","210,47","41,57"
4677,1/7/2025,4677 - Santidad (Arucas),R05,Z28,Santidad (Arucas),Veterana,NTC90,Veterana,27,"3.827,59",103.345,"1.296,26","1.347,3","51,04","0,3421","0,3565","0,0271","0,0415","20,09","21,6","22,45","2,36","542,56","583,32","606,28","63,72"
4687,1/7/2025,4687 - Camí Dels Reis (Palma),R04,Z53,Camí Dels Reis (Palma),Veterana,NTC120,No veterana,27,3.330,89.910,"1.373,7","1.444,67","70,96","0,4148","0,4365","0,0998","0,1215","17,48","22,89","24,08","6,59","472,03","618,17","650,1","178,07"
4694,1/7/2025,4694 - P. C. Guadalquivir (Cordoba),R06,Z17,P. C. Guadalquivir (Cordoba),Veterana,NTC60,Veterana,27,"2.835,96",76.571,"846,19","896,48","50,3","0,2984","0,3165","-0,02","0,0015","14,89","14,1","14,94","0,053",402,"380,78","403,42","1,42"
4697,1/7/2025,4697 - Zaramaga (Vitoria-Gasteiz),R08,Z42,Zaramaga (Vitoria-Gasteiz),Veterana,NTC60,Veterana,26,"3.002,15",78.056,"995,73","1.041,38","45,65","0,3348","0,3495","0,0198","0,0345","15,76","16,6","17,36","1,59","409,79","431,48","451,27","41,47"
4701,1/7/2025,4701 - Barranco Seco (Las Palmas De Gran Canaria),R05,Z28,Barranco Seco (Las Palmas De Gran Canaria),Veterana,NTC120,Veterana,27,"3.366,19",90.887,"1.146,59","1.182,56","35,96","0,3453","0,3564","0,0303","0,0414","17,67","19,11","19,71","2,04","477,16","515,97","532,15","54,99"
4732,1/7/2025,4732 - San Juan De La Peña (Zaragoza),R08,Z22,San Juan De La Peña (Zaragoza),Veterana,NTC90,No veterana,27,"3.129,89",84.507,"1.172,74","1.209,41","36,67","0,3767","0,3884","0,0617","0,0734","16,43","19,55","20,16","3,73","443,66","527,73","544,23","100,57"
4735,1/7/2025,4735 - Delicias (Valladolid),R09,Z27,Delicias (Valladolid),Veterana,NTC90,Veterana,27,"4.228,63",114.173,"1.457,22","1.510,19","52,96","0,3469","0,3589","0,0319","0,0439","22,2","24,29","25,17","2,97","599,41","655,75","679,58","80,18"
4742,1/7/2025,4742 - Santa Isabel (Zaragoza),R08,Z22,Santa Isabel (Zaragoza),Veterana,NTC60,No veterana,27,"3.243,56",87.576,"1.123,22","1.158,11","34,89","0,3483","0,3591","0,0333","0,0441","17,03","18,72","19,3","2,27","459,77","505,45","521,15","61,38"
4766,1/7/2025,4766 - Ctra. De Cedeira (Naron),R01,Z38,Ctra. De Cedeira (Naron),Veterana,NTC60,Veterana,26,"1.677,81",43.623,"555,88","566,27","10,38","0,3397","0,3462","0,0247","0,0312","8,81","9,27","9,44","0,629","229,02","240,88","245,38","16,36"
4771,1/7/2025,4771 - Fuente Álamo (Fuente Alamo De Murcia),R07,Z48,Fuente Álamo (Fuente Alamo De Murcia),Veterana,NTC120,Veterana,26,"3.590,35",93.349,"1.256,15","1.293,96","37,81","0,351","0,3616","0,036","0,0466","18,85","20,94","21,57","2,72","490,08","544,33","560,72","70,63"
4777,1/7/2025,4777 - C. C. La Rambla (Cartagena),R07,Z21,C. C. La Rambla (Cartagena),Veterana,NTC150,Veterana,27,"6.592,11",177.987,"2.240,81","2.311,78","70,96","0,3415","0,3524","0,0265","0,0374","34,61","37,35","38,53","3,92","934,43","1.008,37","1.040,3","105,87"
