nivel,tienda,mes,area_batch,estado_veterana,n_dias,n_lotes,uds_total,uds_media_lote,p1_min_medio,p2_min_medio,p3_min_medio,p23_min_medio,p4_min_medio,p5_min_medio,p6_min_medio,p7_min_medio,prep_min_medio,total_min_util_medio,p1_ef_min_medio,p2_ef_min_medio,p3_ef_min_medio,p23_ef_min_medio,p4_ef_min_medio,p5_ef_min_medio,p6_ef_min_medio,p7_ef_min_medio,prep_ef_min_medio,total_min_efec_medio,p1_par_min_medio,p2_par_min_medio,p3_par_min_medio,p23_par_min_medio,p4_par_min_medio,p5_par_min_medio,p6_par_min_medio,p7_par_min_medio,prep_par_min_medio,total_min_paradas_medio,p1_pct_medio,p2_pct_medio,p3_pct_medio,p23_pct_medio,p4_pct_medio,p5_pct_medio,p6_pct_medio,p7_pct_medio,prep_pct_medio,p1_ef_pct_medio,p2_ef_pct_medio,p3_ef_pct_medio,p23_ef_pct_medio,p4_ef_pct_medio,p5_ef_pct_medio,p6_ef_pct_medio,p7_ef_pct_medio,prep_ef_pct_medio,p1_par_pct_medio,p2_par_pct_medio,p3_par_pct_medio,p23_par_pct_medio,p4_par_pct_medio,p5_par_pct_medio,p6_par_pct_medio,p7_par_pct_medio,prep_par_pct_medio,prod_total_min_ud_media,prod_efectiva_min_ud_media,uph_total_media,uph_efec_media,prod_real_oficial,prod_efec_oficial
tienda_mes,4065,1/5/2026,SECOS,Veterana,24,265,33.596,"126,5","1,24","10,41","21,25",0,0,"1,49","1,05","2,95","31,66","38,41","1,17","10,39","20,92",0,0,"1,41","1,05","2,63","31,31","37,57","0,0776","0,0261","0,327",0,0,"0,0818",0,"0,324","0,3531","0,8364","0,0329","0,2702","0,5533",0,0,"0,0391","0,0277","0,0767","0,8236","0,0314","0,2756","0,557",0,0,"0,0377","0,0282","0,07","0,8327","0,0972","0,0625","0,3043",0,0,"0,1039",0,"0,4321","0,3668","0,3043","0,2977","198,34","202,51",,
tienda_mes,4065,1/5/2026,REFRIGERADO,Veterana,24,133,14.707,"110,07","0,9374","8,44","10,37",0,0,"1,13","2,12","1,9","18,81","24,9","0,9374","8,44","10,24",0,0,"1,13","2,12","1,9","18,68","24,77",0,0,"0,127",0,0,0,0,0,"0,127","0,127","0,0385","0,3389","0,4155",0,0,"0,0459","0,0852","0,0761","0,7543","0,0388","0,3406","0,4127",0,0,"0,0461","0,0855","0,0764","0,7533",0,0,1,0,0,0,0,0,1,"0,2299","0,2288","265,24","266,45",,
tienda_mes,4065,1/5/2026,CONGELADO,Veterana,24,93,3.223,"34,53","1,55","2,95","5,35",0,0,"0,6762","1,93","2,61","8,3","15,07","1,35","2,95","5,35",0,0,"0,6762","1,93","2,56","8,3","14,81","0,2054",0,0,0,0,0,0,"0,051",0,"0,2564","0,1003","0,1932","0,3542",0,0,"0,0463","0,13","0,176","0,5473","0,0909","0,196","0,3586",0,0,"0,0471","0,132","0,1753","0,5546","0,5",0,0,0,0,0,0,"0,5",0,"0,4501","0,442","137,17","139,12",,
tienda_mes,4065,1/5/2026,FRESCOS,Veterana,24,125,8.278,"66,08","1,34",0,0,"18,35","1,06","1,16","3,83","2,38","18,35","28,13","1,34",0,0,"18,19","0,9812","1,16","3,83","1,73","18,19","27,24",0,0,0,"0,1679","0,0773",0,0,"0,6438","0,1679","0,889","0,0487",0,0,"0,6494","0,0368","0,0412","0,1383","0,0856","0,6494","0,0504",0,0,"0,6632","0,0359","0,0425","0,1425","0,0655","0,6632",0,0,0,"0,2735","0,1111",0,0,"0,6154","0,2735","0,4295","0,4161","142,09","146,73",,
tienda_mes,4065,1/5/2026,FYV,Veterana,24,101,7.533,"75,47","2,02",0,0,"10,14","3,79","0,7884","1,9","2,85","10,14","21,48","1,49",0,0,"10,14","3,54","0,7884","1,9","1,01","10,14","18,86","0,5303",0,0,0,"0,2525",0,0,"1,83",0,"2,62","0,0944",0,0,"0,4668","0,1772","0,0375","0,0908","0,1333","0,4668","0,0806",0,0,"0,5294","0,1885","0,0429","0,1029","0,0557","0,5294","0,2036",0,0,0,"0,1158",0,0,"0,6806",0,"0,2904","0,2546","211,44","241,02",,
tienda_mes,4065,1/5/2026,HORNO,Veterana,24,61,1.799,"29,2","0,3253","1,35","1,69",0,0,"0,6911","2,26","0,2084","3,04","6,53","0,3253","1,35","1,69",0,0,"0,6911","2,26","0,2084","3,04","6,53",0,0,0,0,0,0,0,0,0,0,"0,0594","0,2211","0,2594",0,0,"0,1008","0,3305","0,0287","0,4805","0,0594","0,2211","0,2594",0,0,"0,1008","0,3305","0,0287","0,4805",,,,,,,,,,"0,2886","0,2886","265,14","265,14",,
tienda_mes,4065,1/5/2026,PENDIENTES,Veterana,23,36,195,"5,25","0,3301","0,4315","0,6663",0,"0,0123","0,2601","0,9805","2,28","1,1","4,96","0,3301","0,4315","0,6663",0,"0,0123","0,2601","0,9805","1,98","1,1","4,66",0,0,0,0,0,0,0,"0,3004",0,"0,3004","0,1023","0,0944","0,0965",0,"0,0125","0,088","0,1864","0,4199","0,1908","0,1047","0,101","0,1018",0,"0,0125","0,0897","0,2005","0,3898","0,2028",0,0,0,0,0,0,0,1,0,"1,17","1,12","66,19","69,64",,
tienda_mes,4140,1/5/2026,GLOBAL,Liebre,25,,127.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3001","0,2838"
tienda_mes,4140,1/5/2026,SECOS,Veterana,25,498,68.840,"137,71","0,9889","10,48","21,28",0,0,"1,13","0,9546","3,55","31,76","38,38","0,9542","10,24","21,18",0,0,"1,12","0,9546","2,78","31,42","37,23","0,0347","0,2335","0,1013",0,0,"0,0139",0,"0,7636","0,3349","1,15","0,026","0,2723","0,5548",0,0,"0,0295","0,0248","0,0927","0,827","0,0259","0,2745","0,5688",0,0,"0,0301","0,0256","0,0751","0,8433","0,0519","0,1229","0,1099",0,0,"0,0091",0,"0,7061","0,2329","0,279","0,2708","216,03","222,75",,
tienda_mes,4140,1/5/2026,REFRIGERADO,Veterana,25,213,23.902,"112,4","0,9152","7,75","10,75",0,0,"1,08","2,06","3,46","18,5","26,02","0,9152","7,68","10,69",0,0,"1,08","2,06","2,74","18,37","25,16",0,"0,0749","0,0624",0,0,0,0,"0,716","0,1374","0,8533","0,0353","0,2979","0,4136",0,0,"0,0416","0,0791","0,1325","0,7115","0,0363","0,3052","0,4249",0,0,"0,043","0,0817","0,1088","0,7301",0,"0,0892","0,0848",0,0,0,0,"0,826","0,174","0,2335","0,2258","259,5","268,11",,
